PostalCode,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M1B,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001,6,Fast Food Restaurant,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,College Rec Center
M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999,8,Bar,Yoga Studio,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Eastern European Restaurant,Dim Sum Restaurant
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,1,Rental Car Location,Mexican Restaurant,Electronics Store,Pizza Place,Breakfast Spot,Medical Center,Dim Sum Restaurant,Diner,Discount Store,Dog Run
M1G,Scarborough,Woburn,43.7709921,-79.21691740000001,1,Coffee Shop,Insurance Office,Convenience Store,Korean Restaurant,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999,1,Athletics & Sports,Hakka Restaurant,Caribbean Restaurant,Bakery,Thai Restaurant,Bank,Fried Chicken Joint,Donut Shop,Dog Run,Doner Restaurant
M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999,9,Spa,Playground,Yoga Studio,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002,1,Discount Store,Train Station,Coffee Shop,Department Store,Ethiopian Restaurant,Event Space,Empanada Restaurant,Electronics Store,Eastern European Restaurant,Dessert Shop
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772,1,Bus Line,Bakery,Fast Food Restaurant,Intersection,Bus Station,Metro Station,Soccer Field,Park,Gluten-free Restaurant,Dessert Shop
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999,1,Motel,American Restaurant,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,1,College Stadium,General Entertainment,Skating Rink,Café,Concert Hall,Dim Sum Restaurant,Event Space,Ethiopian Restaurant,Comfort Food Restaurant,Empanada Restaurant
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001,1,Indian Restaurant,Pet Store,Vietnamese Restaurant,Latin American Restaurant,Chinese Restaurant,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
M1R,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491,1,Middle Eastern Restaurant,Breakfast Spot,Shopping Mall,Bakery,Auto Garage,Sandwich Place,Yoga Studio,Drugstore,Dog Run,Doner Restaurant
M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,1,Lounge,Skating Rink,Breakfast Spot,Sandwich Place,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021,1,Pizza Place,Rental Car Location,Noodle House,Italian Restaurant,Thai Restaurant,Chinese Restaurant,Fried Chicken Joint,Fast Food Restaurant,Pharmacy,Dumpling Restaurant
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772,2,Park,Playground,Yoga Studio,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M1W,Scarborough,"L'Amoreaux West, Steeles West",43.799525200000005,-79.3183887,1,Fast Food Restaurant,Coffee Shop,Chinese Restaurant,Japanese Restaurant,Indian Restaurant,Breakfast Spot,Grocery Store,Pharmacy,Electronics Store,Pizza Place
M2H,North York,Hillcrest Village,43.8037622,-79.3634517,1,Athletics & Sports,Dog Run,Mediterranean Restaurant,Golf Course,Pool,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Doner Restaurant
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1,Clothing Store,Fast Food Restaurant,Coffee Shop,Restaurant,Bakery,Food Court,Asian Restaurant,Women's Store,Boutique,Bank
M2K,North York,Bayview Village,43.7869473,-79.385975,1,Café,Japanese Restaurant,Chinese Restaurant,Bank,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
M2N,North York,Willowdale South,43.7701199,-79.40849279999999,1,Ramen Restaurant,Restaurant,Sandwich Place,Café,Coffee Shop,Japanese Restaurant,Pizza Place,Lounge,Ice Cream Shop,Sushi Restaurant
M2P,North York,York Mills West,43.752758299999996,-79.4000493,2,Park,Bank,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant
M2R,North York,Willowdale West,43.7827364,-79.4422593,0,Pharmacy,Pizza Place,Grocery Store,Coffee Shop,Butcher,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
M3A,North York,Parkwoods,43.7532586,-79.3296565,2,Fast Food Restaurant,Park,Food & Drink Shop,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M3B,North York,Don Mills North,43.745905799999996,-79.352188,1,Café,Japanese Restaurant,Gym / Fitness Center,Caribbean Restaurant,Basketball Court,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop
M3C,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923,1,Asian Restaurant,Gym,Beer Store,Coffee Shop,Chinese Restaurant,Sporting Goods Shop,Bus Line,Restaurant,General Entertainment,Clothing Store
M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,1,Coffee Shop,Frozen Yogurt Shop,Fried Chicken Joint,Bridal Shop,Fast Food Restaurant,Sandwich Place,Diner,Restaurant,Bank,Deli / Bodega
M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,1,Bar,Massage Studio,Coffee Shop,Miscellaneous Shop,Yoga Studio,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M3K,North York,"CFB Toronto, Downsview East",43.737473200000004,-79.46476329999999,2,Bus Stop,Park,Airport,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore
M3L,North York,Downsview West,43.7390146,-79.5069436,0,Grocery Store,Moving Target,Bank,Yoga Studio,Drugstore,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Dumpling Restaurant
M3M,North York,Downsview Central,43.7284964,-79.49569740000001,1,Baseball Field,Food Truck,Business Service,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio
M3N,North York,Downsview Northwest,43.7616313,-79.52099940000001,1,Athletics & Sports,Discount Store,Gym / Fitness Center,Liquor Store,Grocery Store,Dumpling Restaurant,Diner,Dog Run,Doner Restaurant,Donut Shop
M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,1,Portuguese Restaurant,Pizza Place,Hockey Arena,Coffee Shop,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
